,timestamp,open,high,low,close,volume
0,2019-09-23,0.0,0.0,0.0,10.2,0
1,2019-09-19,10.22,10.22,10.22,10.22,0
2,2019-09-18,10.23,10.24,10.22,10.22,70200
3,2019-09-17,10.22,10.22,10.22,10.22,900
4,2019-09-16,10.22,10.22,10.22,10.22,0
5,2019-09-13,10.22,10.22,10.22,10.22,50000
6,2019-09-12,10.2,10.2,10.2,10.2,0
7,2019-09-11,10.2,10.2,10.2,10.2,100
8,2019-09-10,10.22,10.22,10.22,10.22,100
9,2019-09-09,10.233,10.233,10.233,10.233,0
10,2019-09-06,10.24,10.24,10.233,10.233,1000
11,2019-09-05,10.228,10.24,10.228,10.24,800
12,2019-09-04,10.23,10.23,10.21,10.222,700
13,2019-09-03,10.2,10.23,10.2,10.21,63500
14,2019-08-30,10.221,10.221,10.221,10.221,0
15,2019-08-29,10.23,10.23,10.221,10.221,400
16,2019-08-28,10.24,10.24,10.21,10.21,1900
17,2019-08-27,10.225,10.225,10.225,10.225,10000
18,2019-08-26,10.24,10.24,10.234,10.234,600
19,2019-08-23,10.22,10.22,10.22,10.22,14800
20,2019-08-22,10.2,10.2,10.19,10.19,125000
21,2019-08-21,10.21,10.22,10.19,10.2,70600
22,2019-08-20,10.21,10.22,10.21,10.22,20200
23,2019-08-19,10.2,10.22,10.2,10.22,700
24,2019-08-16,10.22,10.22,10.2199,10.22,0
25,2019-08-15,10.22,10.22,10.2,10.22,100600
26,2019-08-14,10.2,10.22,10.2,10.22,50600
27,2019-08-13,10.2,10.22,10.2,10.22,100500
28,2019-08-12,10.2,10.22,10.2,10.22,100500
29,2019-08-09,10.2,10.22,10.2,10.22,100500
30,2019-08-08,10.22,10.22,10.18,10.22,376100
31,2019-08-07,10.18,10.2,10.17,10.2,103300
32,2019-08-06,10.18,10.1997,10.17,10.2,103300
33,2019-08-05,10.17,10.2,10.17,10.2,10900
34,2019-08-02,10.17,10.2,10.17,10.2,10900
35,2019-08-01,10.19,10.2,10.19,10.2,352000
36,2019-07-31,10.19,10.2,10.19,10.2,352000
37,2019-07-30,10.187,10.1993,10.187,10.2,10700
38,2019-07-29,10.2,10.2,10.2,10.2,0
39,2019-07-26,10.2,10.2,10.2,10.2,0
40,2019-07-25,10.187,10.2,10.187,10.2,10700
41,2019-07-24,10.18,10.18,10.18,10.18,100
42,2019-07-23,10.17,10.1993,10.16,10.2,114600
43,2019-07-22,10.2,10.22,10.2007,10.22,80800
44,2019-07-19,10.17,10.2,10.17,10.2,10000
45,2019-07-18,10.2,10.2,10.2,10.2,0
46,2019-07-17,10.2,10.2,10.2,10.2,0
47,2019-07-16,10.1895,10.2,10.19,10.2,1600
48,2019-07-15,10.15,10.15,10.15,10.15,100
49,2019-07-12,10.16,10.17,10.15,10.15,10300
50,2019-07-11,10.19,10.1895,10.16,10.16,7200
51,2019-07-10,10.18,10.18,10.18,10.18,10000
52,2019-07-09,10.16,10.16,10.16,10.16,0
53,2019-07-08,10.16,10.18,10.16,10.16,512900
54,2019-07-05,10.17,10.17,10.16,10.16,1100
55,2019-07-03,10.16,10.16,10.16,10.16,50000
56,2019-07-02,10.15,10.17,10.15,10.17,2775100
57,2019-07-01,10.15,10.15,10.15,10.15,525300
58,2019-06-28,10.17,10.17,10.17,10.17,0
59,2019-06-27,10.17,10.17,10.17,10.17,0
60,2019-06-26,10.17,10.17,10.17,10.17,0
61,2019-06-25,10.17,10.17,10.1698,10.17,0
62,2019-06-24,10.17,10.17,10.17,10.17,200
63,2019-06-21,10.17,10.17,10.17,10.17,0
64,2019-06-20,10.17,10.17,10.17,10.17,100
65,2019-06-19,10.17,10.17,10.17,10.17,0
66,2019-06-18,10.15,10.17,10.15,10.17,18400
67,2019-06-17,10.13,10.13,10.13,10.13,0
68,2019-06-14,10.13,10.13,10.1295,10.13,0
69,2019-06-13,10.13,10.13,10.13,10.13,250000
70,2019-06-12,10.15,10.15,10.134,10.15,20600
71,2019-06-11,10.14,10.14,10.14,10.14,0
72,2019-06-10,10.12,10.14,10.12,10.14,180000
73,2019-06-07,10.1,10.12,10.1,10.12,31100
74,2019-06-06,10.11,10.11,10.11,10.11,100300
75,2019-06-05,10.1,10.1,10.0999,10.1,0
76,2019-06-04,10.1,10.1,10.1,10.1,900
77,2019-06-03,10.13,10.13,10.1298,10.13,100
78,2019-05-31,10.0902,10.14,10.09,10.121,700
79,2019-05-30,10.12,10.12,10.12,10.12,0
80,2019-05-29,10.12,10.12,10.12,10.12,1000
81,2019-05-28,10.11,10.11,10.11,10.11,49700
